id;d_spell;f_spell;champion;side;role;assists;damage_objectives;damage_building;damage_turrets;deaths;gold_earned;kills;time_cc;damage_total;damage_taken;total_minions_killed;turret_kills;vision_score;result
18;Flash;Smite;LeeSin;Blue;Jungle;11;658;31718;658;8;14825;12;25;185256;44497;37;1;44;1
19;Ghost;Smite;Hecarim;Blue;Jungle;11;764;9590;764;4;12995;9;13;170661;42154;32;1;32;1
20;Heal;Flash;Vayne;Red;Adc;6;4779;9920;4779;7;14909;11;5;156078;23880;193;2;10;1
21;Flash;Teleport;Sylas;Red;Mid;3;607;3669;607;6;9110;4;15;80715;24070;136;0;19;0
22;Flash;Teleport;Poppy;Red;Top;8;3059;6687;3059;2;11566;5;25;127963;24368;162;2;12;1
23;Flash;Ignite;Teemo;Red;Top;2;1785;4074;1785;6;9875;5;28;104181;16619;181;0;28;0
24;Teleport;Ignite;Qiyana;Red;Top;5;0;0;0;7;10141;7;12;114217;17480;174;0;18;1
25;Teleport;Flash;Shen;Red;Top;5;0;0;0;5;5661;0;17;42550;17974;99;0;8;0
26;Flash;Heal;Jhin;Blue;Adc;19;9231;17396;9231;7;16450;13;26;211453;29049;220;2;40;1
27;Flash;Ignite;Pyke;Blue;Support;10;0;0;0;13;9266;5;17;18173;21965;22;0;58;0
28;Flash;Ignite;Teemo;Blue;Support;5;0;2080;0;14;8495;3;58;40183;27711;27;0;44;0
29;Flash;Exhaust;Lux;Blue;Support;4;0;0;0;2;5844;5;22;15186;3100;18;0;35;1
30;Flash;Teleport;Akali;Red;Mid;8;5697;7111;5697;11;17567;19;4;174788;29539;201;2;18;1
31;Ghost;Smite;Hecarim;Blue;Jungle;8;0;11984;0;3;8401;3;15;117131;25669;18;0;25;1
32;Flash;Smite;Viego;Red;Jungle;5;190;22952;190;11;15530;11;19;206885;41363;56;0;50;0
33;Flash;Ignite;Teemo;Red;Mid;7;5327;9044;5327;7;11004;5;37;112490;16791;164;1;29;0
34;Flash;Teleport;Viktor;Red;Mid;2;961;961;961;8;9966;3;9;124589;19270;210;1;19;0
35;Flash;Barrier;Jhin;Blue;Adc;14;6333;9153;6333;1;13728;4;23;192923;21499;269;3;39;1
36;Flash;Teleport;Zoe;Blue;Mid;9;4677;5728;4677;5;10798;3;11;93372;15576;169;2;23;1
37;Heal;Flash;Jinx;Blue;Adc;8;5197;25521;5197;9;19503;18;23;246292;34897;245;3;37;0
38;Ignite;Smite;Talon;Blue;Jungle;7;1678;24886;1678;5;11517;7;4;196128;24923;37;1;16;0
39;Flash;Teleport;Graves;Red;Mid;4;749;749;749;8;7238;2;7;67284;17365;124;0;9;0
40;Smite;Ghost;Hecarim;Blue;Jungle;10;2682;31724;2682;1;11051;10;20;166447;30537;24;3;21;1
41;Teleport;Flash;Zilean;Red;Top;16;0;915;0;6;9304;4;53;104884;21881;129;0;35;0
